宪明 - 来不及说对不起|魏俫原创合集
康一 - 第22集 钱鏐传位老七钱元瓘|不忍细看的五代十国史
康一 - 第07集 军事奇才李存勖为什么只当了三年皇帝|不忍细看的五代十国史
康一 - 第11集 "儿皇帝"石敬瑭是历史的罪人吗?(3)|不忍细看的五代十国史
康一 - 第10集 "儿皇帝"石敬瑭是历史的罪人吗?(2)|不忍细看的五代十国史
康一 - 第19集 传位杨渥,杨行密所托非人|不忍细看的五代十国史
旭东 - 第163集 无形的禁锢|灭秦
安婼 - 第32集 老物件也可以焕发活力|有趣的人才有诗和远方
安婼 - 第34集 去尝试,不要因为害怕失败而不去做|有趣的人才有诗和远方
安婼 - 第37集 形成良好的阅读趣味|有趣的人才有诗和远方
安婼 - 第29集 有换一种生活方式的勇气|有趣的人才有诗和远方
安婼 - 第38集 生活除了赚钱,还有很多有意思的事|有趣的人才有诗和远方
安婼 - 第05集 敞开心扉,拥抱那些好玩又有趣的新事物|有趣的人才有诗和远方
安婼 - 第08集 保持你该有的傲娇|有趣的人才有诗和远方
安婼 - 第07集 偶尔做点和身份不相符的事|有趣的人才有诗和远方
安婼 - 第36集 听从内心的呼唤,做让自己不后悔的选择|有趣的人才有诗和远方
安婼 - 第06集 人云亦云是一个让人变得无趣的品质|有趣的人才有诗和远方
安婼 - 第31集 定期组织或者参加一个主题聚会|有趣的人才有诗和远方
朱星燃 - 第03集 开场白是一道开胃菜|出口成章就这么简单
妮婷 - 四季調|玲珑小调
妮婷 - 加多一點點|玲珑小调
妮婷 - 朱大嫂送雞蛋|玲珑小调
妮婷 - 小黃鸝鳥|玲珑小调
妮婷 - 紫竹調|玲珑小调
旭东 - 第238集 附骨之蛆|灭秦
顾顼 - 写的伤|写的伤
安婼 - 第33集 人生是用来体验的|有趣的人才有诗和远方
安婼 - 第28集 舍得犒赏自己,因为你值得这样的犒赏|有趣的人才有诗和远方
安婼 - 第30集 当我们不再好奇,就变成了无聊的大人|有趣的人才有诗和远方
安婼 - 第21集 别人正说到兴头上,别轻易打断和插话|有趣的人才有诗和远方
安婼 - 第35集 勇敢一点,去挑战让自己恐惧的事|有趣的人才有诗和远方
安婼 - 第18集 关注时尚词汇与流行语言,幽默也要有时代感|有趣的人才有诗和远方
安婼 - 第12集 下雪了,你不做点什么吗|有趣的人才有诗和远方
安婼 - 第04集 告别循规蹈矩,让平庸无聊的事情趣味横生|有趣的人才有诗和远方
安婼 - 第17集 真正有趣的人在逆境中仍能保持幽默|有趣的人才有诗和远方
安婼 - 第20集 不知道聊什么,就聊聊吃过的美食|有趣的人才有诗和远方
安婼 - 第22集 赞美也要适可而止,过度赞美惹人烦|有趣的人才有诗和远方
安婼 - 第19集 有趣的人的字典里,没有"冷场"二字|有趣的人才有诗和远方
安婼 - 第23集 有一种情商叫不拆穿你的谎言|有趣的人才有诗和远方
安婼 - 第25集 生活未必称心如意,但要有苦中作乐的反转能力|有趣的人才有诗和远方
安婼 - 第26集 给家换个风格,换个心情|有趣的人才有诗和远方
安婼 - 第24集 最无趣的是,做什么你都用"随便"打发|有趣的人才有诗和远方
安婼 - 第27集 一个人也可以过得有滋有味|有趣的人才有诗和远方
安婼 - 第11集 做饭,其实是一件很有意思的事|有趣的人才有诗和远方
安婼 - 第10集 下雨了,除了匆忙躲避,你还可以漫步其中|有趣的人才有诗和远方
安婼 - 第09集 是否有趣,主要看你有多"真实"|有趣的人才有诗和远方
安婼 - 第14集 偶尔改变一下经常走的路线|有趣的人才有诗和远方
安婼 - 第15集 有趣的人能把难堪的事说得幽默|有趣的人才有诗和远方
安婼 - 第13集 砍价里那不为人知的乐趣|有趣的人才有诗和远方
安婼 - 第16集 善于自嘲的人会变得越来越有趣|有趣的人才有诗和远方
罗启瑞 - 清净法身佛 (音乐版)|奕睆佛曲唱颂(2): 清净法身佛
槑力啾 - 夜猫 (伴奏)|夜猫
槑力啾 - 夜猫|夜猫
猫爪儿 - 第156集 非法禁锢|陌上花开逢婚时
猫爪儿 - 第144集 刽子手|陌上花开逢婚时
李素华 - 海底珍珠容易搵|南粤风
林兆明 - 第二章 刘伯温归隐会稷山 (口白)|朱元璋演义
王烁巽 - 景珹之歌 (伴奏)|景珹之歌
王烁巽 - 景珹之歌|景珹之歌
八代君 - 第033集 陪朕用膳|偏爱小狐妃
中国音协爱乐男声合唱团 - 渔阳鼙鼓动起来|世纪金曲一百首6
雍三哥 - 第357集 绝望的柳瑭茵|都市强化系统全领域制霸
蛋蛋 - 第137集 祀魂|都市神级护花保镖
顾顼 - 温柔乡 (伴奏)|温柔乡
顾顼 - 温柔乡|温柔乡
声洞 - 第098集 替你害臊|修真至尊在都市
小玩纸先生 - 第32集 我是话痨|到不了
登登 - 愛 (伴奏)|同同情網路劇原聲帶
李开罗 - 楔形文字|音乐行者
流逝 - 第113集 瞠目结舌|飞剑问道
北疆明月 - 第102集 再闯北邙山|叶洋奇遇之非人勿扰
北疆明月 - 第200集 突来的冰雹|叶洋奇遇之非人勿扰
李庆丰 - 第129集 向杲10|聊斋志异新品集
李庆丰 - 第125集 向杲06|聊斋志异新品集
李庆丰 - 第124集 向杲05|聊斋志异新品集
李庆丰 - 第128集 向杲09|聊斋志异新品集
李庆丰 - 第127集 向杲08|聊斋志异新品集
李庆丰 - 第320集 牛癀02|聊斋志异新品集
李庆丰 - 第319集 牛癀01|聊斋志异新品集
李庆丰 - 第214集 山魈01|聊斋志异新品集
金凯翔 - 第235集 又如何与我的淬体丹相提并论|超级丹帝重生都市
北疆明月 - 第092集 北邙山选址|叶洋奇遇之非人勿扰
北疆明月 - 第088集 神秘的布帛|叶洋奇遇之非人勿扰
北疆明月 - 第093集 夜闯北邙山|叶洋奇遇之非人勿扰
李庆丰 - 第122集 向杲03|聊斋志异新品集
李庆丰 - 第121集 向杲02|聊斋志异新品集
李庆丰 - 第120集 向杲01|聊斋志异新品集
桑梓 - 第179集 刘廌出山|丝路密码
桑梓 - 第181集 蒋瓛死没死|丝路密码
张悦楷 - 第十五回 刘皇叔北海救孔融 吕问候濮阳破曹操 (口白)|三国演义
张悦楷 - 第四十四回 曹丕趁乱纳甄试 (口白)|三国演义
张悦楷 - 第二十七回 下丕城曹操兴兵 白梦楼吕布殉命 (口白)|三国演义
张悦楷 - 第十三回 請王室马腾聚义 (口白)|三国演义
呵壁问天 - 第274集 大胃王夏芒|星河霸主
梁川宇 - 夜深守候 (伴奏)|就这样爰你
呵壁问天 - 第357集 剑仙的馈赠|星河霸主
架势堂 - 第150集 狰狞|状元师爷
架势堂 - 第134集 招募|状元师爷
桑梓 - 第191集 龙天宇的缜密|丝路密码
坂本冬美 - 女房気質|女唄
王丰 - 点绛唇--赋登楼|唐宋诗词 合唱独唱歌曲精选
呵壁问天 - 第145集 种族歧视|星河霸主
刘炫豆 - 狮王出殡|国士无双黄飞鸿 电视剧原声带
畅响文化 - 183 冚家铲|我的王妃会捉妖
董玥 - 第六十一回 剑仙师一叶访贞姑 女飞将片旂驱敌帅(下)|女仙外史
李庆丰 - 第123集 向杲04|聊斋志异新品集
李庆丰 - 第126集 向杲07|聊斋志异新品集
李庆丰 - 第381集 秦桧01|聊斋志异新品集
范上娥 - 海青拏鹤|中国音乐大师名家经典  范上娥
悲愴感 - 悲愴感|悲愴感
苓子 - 叮噹|金牌儿童影视歌曲
李存琏 - 这山没有那山高|中国民歌精选--第四集
李存琏 - 观灯|中国民歌精选--第四集
远征 - 伽倻琴|中国民歌精选--第四集
陈桂鸣 - 一炷香|合辑
李存琏 - 槐花几时开|中国民歌精选--第三集
刘竑岐 - 欲言又止|欲言又止
再见青春 - 第094集 祭祀|亡命太岁
青秋 - 第009集 脂肪的罪过|舞娘
文浩 - 第089章 人皮筏子|仙界直播系统
文浩 - 第093章 骷髅铜镜|仙界直播系统
刘惗 - 终是庄周梦了蝶 (伴奏)|终是庄周梦了蝶
黎子明 - 山月调|山月调 黎子明 (原创貳号)
蛋蛋 - 第097集 手撕天灜人|都市神级护花保镖
山鹰组合 - 阿娌嫫|山鹰组合 第二辑
猫爪儿 - 第112集 遵命|陌上花开逢婚时
北疆明月 - 第187集 杀鸡儆猴|叶洋奇遇之非人勿扰
北疆明月 - 第153集 肮脏老头|叶洋奇遇之非人勿扰
茳茫决明 - 那个女人怎么回事 (伴奏)|那个女人怎么回事
茳茫决明 - 那个女人怎么回事|那个女人怎么回事
呵壁问天 - 第106集 体验蹬三轮车|出牌
呵壁问天 - 第153集 春意盎然|出牌
联合读创 - 第06章 稷下之学(1)|中国思想简史
联合读创 - 第06章 稷下之学(3)|中国思想简史
呵壁问天 - 第167集 杀鸡儆猴|出牌
呵壁问天 - 第248集 马书记来别墅|出牌
呵壁问天 - 第247集 私人别墅|出牌
燭台 - 世界樹|前田清貴
李长虹 - 第21回 逛西湖酒楼听闲话 气不平夤夜入苏宅|济公全传
李长虹 - 第109回 说韩棋释放悟缘僧 斗济公暗施阴魂绦|济公全传
联合读创 - 第06章 稷下之学(2)|中国思想简史
于康强 - 凿壁借光|凿壁借光
于康强 - 凿壁借光 (伴奏)|凿壁借光
白浩 - 背垫|背垫
白浩 - 背垫 (伴奏)|背垫
袁浈乔 - 我想和你唱|我想和你唱
登登 - 愛|同同情網路劇原聲帶
顾顼 - 犹豫不|犹豫不
华语群星 - 父亲的玳瑁 (口白)|受益终生 中外百篇著名散文3
招炜杰 - 有你在身边 (伴奏)|回哞
陶心瑶 - 雪衾|雪衾
华语群星 - 红缎子情歌|我歌我唱
苏三 - 吶吶吶吶吶|奇妙相遇
木纹 - 渑池会-对话|木纹之声2011-2017纯音乐合辑
木纹 - 渑池会-秦赵之争|木纹之声2011-2017纯音乐合辑
木纹 - 渑池会-小人|木纹之声2011-2017纯音乐合辑
林兆明 - 第二十章 南汉王放马遭殃 (口白)|朱元璋演义
林兆明 - 第八十章 霸王楼上家虎遭殃 (口白)|朱元璋演义
夢想的頻道 - 我很想你|我在這裡
夢想的頻道 - 悲傷|我在這裡
夢想的頻道 - 霓虹城|我在這裡
夢想的頻道 - 玩得開心|我在這裡
夢想的頻道 - 意想不到的夜晚|我在這裡
夢想的頻道 - 神奇的時刻|我在這裡
夢想的頻道 - 感到希望|我在這裡
夢想的頻道 - 懷舊|我在這裡
夢想的頻道 - 很高興|我在這裡
睡覺 - 腦海裡的你|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 遇見你|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 美好的一天|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 小玫瑰|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 早晨|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 最後一晚|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 寶寶|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 白蓮花|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 搖籃曲|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 愛上睡覺|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 薩式睡覺法|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 愛麗絲|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 做夢|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 安靜睡吧|薩式睡覺法 - 最好聽的搖籃曲
睡覺 - 每一天|薩式睡覺法 - 最好聽的搖籃曲
韩毅 - 饮鸩止渴|饮鸩止渴
韩毅 - 饮鸩止渴 (伴奏)|饮鸩止渴
衍予 - 第194集 诬陷|高手时代
一路听天下 - 第081集 又见玉靇|重生之纯悫皇贵妃
一路听天下 - 第158集 迂人尚可欺之方|大宋金手指
一路听天下 - 第137集 京畿暗伏背嵬营|大宋金手指
一路听天下 - 第139集 调教权奸入吾彀|大宋金手指
一路听天下 - 第118集 自古工谗常掩袖|大宋金手指
一路听天下 - 第264集 孰为鹬蚌孰渔翁|大宋金手指
一路听天下 - 第246集 虽是亲侄犹相疑|大宋金手指
一路听天下 - 第229集 近藩直辖羁縻策|大宋金手指
一路听天下 - 第202集 佯醉日新疾夸富|大宋金手指
一路听天下 - 第062集 揖别岂是为私利|大宋金手指
林烁 - 再好的链子也拴不住爱跑的狗|跟着攀娘一起摇
思予晴 - 卷1 第27集 大唐蝗虫军|大唐御医
张杰(2) - 我的胃隐隐作痛 (伴奏)|我的胃隐隐作痛
清风无戒 - 第0331集 杀鸡儆猴|不死玄尊
奕睆 - 楞严咒|奕睆梵呗 (5): 楞严咒
衍予 - 第403集 异变陡生|高手时代
衍予 - 第509集 黑鳞蜈蚣|高手时代
奕睆 - 黄财神咒|奕睆传统藏密 (4): 绿度母咒.黄财神咒
一路听天下 - 第055集 叫人打怵|双面男友
一路听天下 - 第347集 财帛动人心|大宋金手指
一路听天下 - 第329集 薨逝|大宋金手指
一路听天下 - 第052集 木兰秋狝|重生之纯悫皇贵妃
一路听天下 - 第087集 杀鸡儆猴|重生之纯悫皇贵妃
一路听天下 - 第178集 振臂三呼发聋聩|大宋金手指
一路听天下 - 第181集 疾风板荡嗟荣辱|大宋金手指
一路听天下 - 第298集 厉兵秣马剑指北|大宋金手指
一路听天下 - 第222集 屯守戍疆为永例|大宋金手指
一路听天下 - 第237集 君子因仁远庖厨|大宋金手指
一路听天下 - 第270集 砍不完之鞑虏头|大宋金手指
一路听天下 - 第182集 良妃殁|重生之纯悫皇贵妃
一路听天下 - 第153集 太子殁|重生之纯悫皇贵妃
一路听天下 - 第020集 潜入别墅|双面男友
一路听天下 - 第310集 诬陷|爱是烈焰焚身
一路听天下 - 第322集 抓阄|爱是烈焰焚身
一路听天下 - 第167集 你这是在袒护她|爱是烈焰焚身
一路听天下 - 第215集 恻隐之心|爱是烈焰焚身
指行者乐队 - 满目疮痍|告诉我
益可夫司机 - 马车伕之炼|马车伕之炼
闹闹不爱闹(作者),沈磊(主播) - 第64集 一石四鸟 俨然高手|重生之出人头地
闹闹不爱闹(作者),沈磊(主播) - 第77集 睥睨纵横章玉阶|重生之出人头地
闹闹不爱闹(作者),沈磊(主播) - 第80集 纰漏|重生之出人头地
厘多乌(作者),全小全(主播) - 第44集 贿赂|画骨女仵作
沙漠兽 - 第269集 话痨|一品保镖
一路听天下 - 第045集 麻痹自己|双面男友
蒋德明 - 听鄃城说|听鄃城说
姜 暁艶 - 愛情一陳風|心恋
巧遴 - 一生去守候|同名专辑
深睡 - 小愛的搖籃曲|異相睡眠 - 大自然聲音和鋼琴曲為了天天有用好睡眠
深度睡眠 - 薩式睡覺法|淺睡眠2019 - 輕音樂為了每天晚上好好睡覺
深度睡眠 - 閉眼睛|淺睡眠2019 - 輕音樂為了每天晚上好好睡覺
背景音樂 - 雨聲放鬆|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 集中注意力|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 白蓮|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 安靜大自然|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 夢想|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 禪空間|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 享受生活|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 美麗的城市|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 愛上冥想|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 放鬆音樂|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 和平的禪宗生活|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 我和你|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 注意力|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 自己的世界|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 早晨瑜伽|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
背景音樂 - 下雨了|和平的禪宗生活 - 舒壓放鬆鋼琴音樂和大自然聲音
安眠曲 - 薩式睡覺法|達芬奇睡眠法 - 放鬆音樂為了深度睡眠
安眠曲 - 閉眼睛|達芬奇睡眠法 - 放鬆音樂為了深度睡眠
羊顺顺 - 第69集 只今雪屋重衾湿|半世沧海
羊顺顺 - 第128集 山店桎花落细红1|半世沧海
羊顺顺 - 第129集 山店桎花落细红2|半世沧海
懒人听书 - 第3集 及笄之礼|囍娘
懒人听书 - 第19集 摔跤|囍娘
阿伊 - 卷1 第18集 分歧|重生之幸福日常
阿伊 - 卷1 第20集 百淬果|重生之幸福日常
阿伊 - 卷1 第29集 小美的袒露|重生之幸福日常
广场舞大妈 - 第38集 锒铛入狱谁知祸福|混在大唐
凤舞云飞 - 第9集 外派潢川城|至尊丹师
凤舞云飞 - 第105集 凝秽丹|至尊丹师
凤舞云飞 - 第152集 魔族符篆|至尊丹师
凤舞云飞 - 第100集 宁榷|至尊丹师
凤舞云飞 - 第97集 岌破丹|至尊丹师
凤舞云飞 - 第84集 空间之壤|至尊丹师
一叶小江南 - 第16集 泗州城外|江山一锅煮
一叶小江南 - 第73集 泗州城小将施威|江山一锅煮
陌路荒原 - 第142集 听商简直如嚼蜡|六合大拳师
陌路荒原 - 第057集 最毒不过平头钐|六合大拳师
陌路荒原 - 第092集 回鹘竖尾是真鹰|六合大拳师
陌路荒原 - 第167集 倒拔玉柱掼金梁|六合大拳师
陌路荒原 - 第112集 半路蹿出小猫猴|六合大拳师
陌路荒原 - 第041集 车马辐辏千帆过|六合大拳师
陌路荒原 - 第045集 聊借俳优作古人|六合大拳师
广场舞大妈 - 第18集 狮鬃兽1|恶汉
广场舞大妈 - 第19集 狮鬃兽2|恶汉
溺水的佛珠 - 第22集 去蓟州|血火明末
思予木 - 第88集 情感迸发忘乎所以|悠悠女人心
思予木 - 第83集 众说纷纭纯属关心|悠悠女人心
星儿 - 第40集 拮据|悠然山野间
扬帆 - 第20集 剽窃|盛唐永宁
小裙子 - 第67集 耢花生|重生小地主
袏佑 - 第26集 困龙再起|三国之召唤猛将
袏佑 - 第16集 条件|三国之召唤猛将
袏佑 - 第25集 逃过一劫|三国之召唤猛将
袏佑 - 第13集 雪中送炭|三国之召唤猛将
袏佑 - 第28集 狼子野心|三国之召唤猛将
袏佑 - 第30集 焚纸祷告|三国之召唤猛将
袏佑 - 第14集 马贼来袭|三国之召唤猛将
袏佑 - 第15集 车轮战|三国之召唤猛将
